tp,tp_S,tp_ZH
a,a,啊
akesi,si,龟
ala,lan,不
alasa,sa,搜
ali,lej,全
anpa,an,下
ante,ta,变
anu,naw,或
awen,wen,守
e,e,把
en,en,又
esun,sun,买
ijo,joj,事
ike,kej,歹
ilo,loj,匕
insa,in,内
jaki,ja,污
jan,jan,人
jelo,je,黄
jo,jo,有
kala,ka,鱼
kalama,kaw,音
kama,kan,到
kasi,kaj,木
ken,ken,能
kepeken,ke,用
kili,ki,果
kin,,
kiwen,kiw,石
ko,ko,膏
kon,kon,气
kule,kew,色
kulupu,ku,组
kutw,tew,耳
la,la,喇
lape,laj,休
laso,so,青
lawa,law,首
len,len,巾
lete,le,冰
li,li,哩
lili,liw,小
linja,lin,糸
lipu,piw,叶
loje,lo,红
lon,lon,在
luka,lu,手
lukin,kin,见
lupa,pa,孔
ma,ma,土
mama,man,母
mani,maj,元
meli,me,女
mi,mi,我
mije,mej,男
moku,mo,菜
moli,moj,死
monsi,mon,后
mu,mu,喵
mun,mun,月
musi,muj,玩
mute,mew,大
namako,,
nanpa,nan,番
nasa,san,怪
nasin,naj,道
nena,ne,山
ni,ni,这
nimi,nin,名
noka,no,足
o,o,令
oko,,
olin,noj,爱
ona,on,他
open,pon,开
pakala,paw,打
pali,paj,工
palisa,saj,支
pan,pan,米
pana,na,给
pi,pi,的
pilin,pin,想
pimeja,pej,黑
pini,pen,末
pipi,pew,虫
poka,po,旁
poki,koj,包
pona,pun,好
pu,pu,书
sama,sen,同
seli,sej,火
selo,soj,甲
seme,se,什
sewi,sew,上
sijelo,jew,身
sike,kow,回
sin,sin,新
sina,nej,你
sinpin,puj,前
sitelen,ten,画
sona,son,知
soweli,sow,牛
suli,suj,高
suno,su,日
supa,saw,张
suwi,siw,甜
tan,tan,从
taso,tow,只
tawa,taw,去
telo,te,水
tenpo,ton,时
toki,ti,言
tomo,to,穴
tu,tu,二
unpa,un,性
uta,tiw,口
utala,taj,斗
walo,wa,白
wan,wan,一
waso,wo,鸟
wawa,waw,力
weka,we,脱
wile,wi,要
